hex_id,lat,lon,ndvi_2025,ndvi_2026,ndvi_2025_min,ndvi_2026_min,ndvi_2025_max,ndvi_2026_max,change,relative_change,std_2025,std_2026,pixel_count_2025,pixel_count_2026,is_vegetated,severity,direction,area_type,confidence,anomaly_score,uncertainty_flag
894269b1d5bffff,33.61278507731624,73.22520113736199,0.19826945662498474,0.22247304022312164,0.07186256349086761,0.08295123279094696,0.441097617149353,0.46979546546936035,0.024203583598136902,12.207419140668039,0.05128535255789757,0.06557881087064743,1181,1181,True,Moderate,Increase,vegetated,0.9156140554843668,0.6845782874520567,False
89209a49d97ffff,33.722054328955906,73.06284728023262,0.17704986035823822,0.17822766304016113,0.004758128430694342,0.02560676820576191,0.5181307792663574,0.4942675232887268,0.0011778026819229126,0.6652378485584661,0.09112972766160965,0.08986052125692368,1184,1184,True,Mild,Stable,vegetated,0.8693095243654527,-0.06710648801364966,False
894269ba3a3ffff,33.53102661431374,73.15497089130393,0.09514344483613968,0.09866521507501602,-0.029055006802082062,-0.014851485379040241,0.3042994439601898,0.30793651938438416,0.0035217702388763428,3.7015374468957836,0.0479964017868042,0.046284109354019165,1180,1180,False,,,bare_soil_water,0.9319213884853621,0.009413163291933233,False
89209a4da6fffff,33.72821388564836,73.25297728691858,0.189423605799675,0.1854173094034195,0.030259104445576668,0.03974813222885132,0.4236585795879364,0.3858520984649658,-0.004006296396255493,-2.1149932076007216,0.06859749555587769,0.06316857039928436,1185,1185,True,Mild,Stable,vegetated,0.9048536043512239,-0.23634323901689175,False
894269b8537ffff,33.51458353781201,73.18503178891855,0.18273499608039856,0.1749364584684372,-0.043668121099472046,-0.00588438892737031,0.5284525752067566,0.5520918965339661,-0.007798537611961365,-4.267676022238353,0.10908636450767517,0.1057223379611969,1180,1180,True,Mild,Stable,vegetated,0.8448897017168414,-0.3601422969994329,False
894269b66cbffff,33.752913023810045,73.2832745519467,0.3151911795139313,0.2978898584842682,0.12527473270893097,0.15392062067985535,0.4757597744464874,0.43843966722488403,-0.017301321029663086,-5.489151395779582,0.06728348881006241,0.05936817452311516,932,932,True,Moderate,Decrease,vegetated,0.9085466414913329,-0.670364028267814,False
89209a4aa2fffff,33.76981570544169,73.06344288732198,0.23382307589054108,0.23757563531398773,0.03474903479218483,0.022643646225333214,0.5013784766197205,0.49557021260261536,0.0037525594234466553,1.6048712938851808,0.08559328317642212,0.0917721837759018,1185,1185,True,Mild,Stable,vegetated,0.8719269276900301,0.016947357985043054,False
894269b0b87ffff,33.65087261344341,73.28117474500803,0.23885276913642883,0.25796908140182495,0.03410275653004646,0.06530936062335968,0.447761207818985,0.48811641335487366,0.019116312265396118,8.003387331246383,0.07820305973291397,0.08398933708667755,1185,1185,True,Moderate,Increase,vegetated,0.8828831850814197,0.5185025125022642,False
89209a48bc3ffff,33.731096568372955,73.1092710077198,0.22791239619255066,0.20763517916202545,0.05179055407643318,0.06275089830160141,0.46293649077415466,0.3811425566673279,-0.020277217030525208,-8.896934685989656,0.07958708703517914,0.06160350143909454,1182,1182,True,Moderate,Decrease,vegetated,0.898048291147828,-0.7675132075011734,False
8942699486fffff,33.66494191372388,72.928158647026,0.22739656269550323,0.19638556241989136,0.04927707463502884,0.04308797046542168,0.5738109946250916,0.46631526947021484,-0.031011000275611877,-13.637409426077099,0.09552095830440521,0.07983388751745224,1183,1183,True,Severe,Decrease,vegetated,0.8733787685125697,-1.1179213642468593,False
894269b7363ffff,33.69155582676472,73.3199019455945,0.21699713170528412,0.23704633116722107,0.057708870619535446,0.05747126415371895,0.4176861345767975,0.43439310789108276,0.02004919946193695,9.239384550560274,0.07136433571577072,0.058836985379457474,1181,1181,True,Moderate,Increase,vegetated,0.9059834842823992,0.5489569455318446,False
89209a4d533ffff,33.77835347649766,73.18013385970208,0.4278566837310791,0.4049821197986603,0.16920815408229828,0.19862069189548492,0.5806406736373901,0.5288991928100586,-0.022874563932418823,-5.346314502544076,0.05486917868256569,0.04456164315342903,1186,1186,True,Moderate,Decrease,vegetated,0.9282024226380882,-0.8523045172882671,False
89209a4b6c7ffff,33.71997814497774,72.9152240555049,0.3362017869949341,0.3010391891002655,0.05912131443619728,0.06272401660680771,0.5283156037330627,0.49439647793769836,-0.03516259789466858,-10.45877780988666,0.10356882959604263,0.09153448045253754,1185,1185,True,Severe,Decrease,vegetated,0.8591186843463561,-1.253451739327737,False
894269a3693ffff,33.549386930097626,73.24060799305398,0.2993429899215698,0.32771843671798706,0.033590734004974365,0.04621781408786774,0.5810473561286926,0.553250789642334,0.028375446796417236,9.479242124177294,0.12509098649024963,0.1219429224729538,1183,1183,True,Severe,Increase,vegetated,0.821620340028404,0.8207702395462757,False
89426994dabffff,33.70138632125982,72.92419699747803,0.20767349004745483,0.20675769448280334,0.057466063648462296,0.060778070241212845,0.5882530212402344,0.5834209322929382,-0.0009157955646514893,-0.44097855939254627,0.08993940055370331,0.09729436039924622,1184,1184,True,Mild,Stable,vegetated,0.8648011734333805,-0.13545274448235037,False
89209a4985bffff,33.67941604602921,73.05918294759823,0.15981978178024292,0.15333639085292816,-0.02979101799428463,-0.011302381753921509,0.30425339937210083,0.3134942948818207,-0.006483390927314758,-4.056688637098516,0.052475228905677795,0.051701221615076065,1183,1183,True,Mild,Stable,vegetated,0.9247756718948739,-0.31720886755570316,False
894269b10c3ffff,33.59075196979698,73.1461727752038,0.2214767038822174,0.24046842753887177,0.03277807682752609,-0.03351351246237755,0.5903649926185608,0.5620437860488892,0.018991723656654358,8.57504348030855,0.10960310697555542,0.13658064603805542,1185,1185,True,Moderate,Increase,vegetated,0.8222342255061007,0.5144352732312744,False
894269b24b7ffff,33.72050172645945,73.12239518235809,0.2727656960487366,0.21849264204502106,0.10538286715745926,0.03761294484138489,0.5582608580589294,0.47711536288261414,-0.054273054003715515,-19.897316557731017,0.08070505410432816,0.06988362222909927,1187,1187,True,Severe,Decrease,vegetated,0.8912620660351098,-1.8773193493622264,False
894269b064bffff,33.62642355005576,73.15629526209206,0.12974946200847626,0.15396900475025177,0.009399264119565487,0.005649717524647713,0.629531979560852,0.5586321353912354,0.024219542741775513,18.666391649618788,0.13277050852775574,0.1487974226474762,1185,1185,True,Moderate,Increase,vegetated,0.7966838154618484,0.685099279350063,False
89209a48687ffff,33.73561671771648,72.99378437934043,0.3646761476993561,0.3549882471561432,0.13909223675727844,0.15066470205783844,0.5911532640457153,0.5664178133010864,-0.00968790054321289,-2.6565764183731932,0.0854974314570427,0.08082061260938644,1186,1186,True,Mild,Stable,vegetated,0.8799041140860964,-0.42182121924397536,False
89426994333ffff,33.6561986248593,72.87481943764064,0.22631150484085083,0.2409757375717163,0.02329047955572605,0.04828603193163872,0.569240927696228,0.5506121516227722,0.014664232730865479,6.4796673687348845,0.10641581565141678,0.11286495625972748,1184,1184,True,Moderate,Increase,vegetated,0.8416604841983643,0.37316279883754355,False
894269861a7ffff,33.644866902091636,72.99660547441394,0.1548852175474167,0.15319888293743134,-0.02198697067797184,-0.0030079300049692392,0.3630712926387787,0.38778385519981384,-0.0016863346099853516,-1.0887640774815037,0.07357176393270493,0.07463126629590988,1184,1184,True,Mild,Stable,vegetated,0.8929847070392338,-0.16060726459990649,False
894269b8c93ffff,33.51633603287282,73.21318265202467,0.16754594445228577,0.1638677567243576,-0.00955631397664547,0.0005757052567787468,0.5497606992721558,0.5370041728019714,-0.0036781877279281616,-2.1953308031133196,0.09726694226264954,0.0959305614233017,1182,1182,True,Mild,Stable,vegetated,0.8604948399209662,-0.22563201529868507,False
894269b314fffff,33.640669810910175,73.13650196115381,0.2842141091823578,0.2905550003051758,0.04957121983170509,0.04208754375576973,0.6131108999252319,0.5820465683937073,0.006340891122817993,2.2310261587856437,0.12038318812847137,0.12941791117191315,1183,1183,True,Mild,Stable,vegetated,0.8196221913795213,0.10144436329193715,False
89426996e37ffff,33.716328775736464,72.85875336293863,0.3454423248767853,0.23947441577911377,0.08913125097751617,0.07912003248929977,0.5396065711975098,0.48405104875564575,-0.10596790909767151,-30.676006229250817,0.09809091687202454,0.07803741097450256,1186,1186,True,Severe,Decrease,vegetated,0.8728202481817625,-3.564916208093296,False
89209a4dc8fffff,33.777893668080445,73.21874570146817,0.26052016019821167,0.24566665291786194,0.1312384456396103,0.14178481698036194,0.43065693974494934,0.43020814657211304,-0.014853507280349731,-5.701480940687558,0.05365855619311333,0.052674636244773865,1183,1183,True,Moderate,Decrease,vegetated,0.9232183193377315,-0.5904542812225435,False
89426994113ffff,33.67806043771196,72.86611026507464,0.2115355134010315,0.23413191735744476,0.034978438168764114,0.04059590399265289,0.5594580769538879,0.5525389909744263,0.02259640395641327,10.6820852882394,0.08872004598379135,0.10620545595884323,1182,1182,True,Moderate,Increase,vegetated,0.8592470770419658,0.632111338664605,False
89209a48467ffff,33.74471870990757,73.00860518083907,0.28330308198928833,0.2729520797729492,0.08151735365390778,0.08024159073829651,0.5504414439201355,0.5891978740692139,-0.010351002216339111,-3.653685001820941,0.08702941238880157,0.08285315334796906,1184,1184,True,Mild,Decrease,vegetated,0.8773302238611247,-0.44346840828345024,False
894269b042bffff,33.65844572802289,73.17312327219413,0.15662044286727905,0.11108648777008057,0.05741738900542259,0.06898954510688782,0.4007833003997803,0.2275165617465973,-0.045533955097198486,-29.072804458728406,0.042712993919849396,0.026136299595236778,1183,1183,True,Severe,Decrease,vegetated,0.9502849077762234,-1.5920283695157125,False
89426995c63ffff,33.623409433094345,72.87209813744981,0.20203745365142822,0.19087404012680054,0.020976878702640533,0.02575390785932541,0.48269525170326233,0.4803544580936432,-0.011163413524627686,-5.5254178484587975,0.07357525825500488,0.10723362118005753,347,347,True,Mild,Decrease,vegetated,0.869440488680945,-0.4699898632594541,False
894269b010fffff,33.65615973818691,73.21500951772096,0.18868985772132874,0.19985739886760712,0.00923787523061037,0.054806213825941086,0.5213807821273804,0.5344693064689636,0.011167541146278381,5.918463918061478,0.09208810329437256,0.11286177486181259,1185,1185,True,Mild,Increase,vegetated,0.8520086180469828,0.25901206326868653,False
894269b2297ffff,33.68367016395712,73.13323045665766,0.28317445516586304,0.26699116826057434,0.07124463468790054,0.07060696929693222,0.636410653591156,0.5822412371635437,-0.016183286905288696,-5.714952959231334,0.09361015260219574,0.10991138964891434,1181,1181,True,Moderate,Decrease,vegetated,0.8530399990186956,-0.6338654081862005,False
89209a4814bffff,33.73629701196349,73.04300304532704,0.41630586981773376,0.36862218379974365,0.30771341919898987,0.28771084547042847,0.5173766016960144,0.45900410413742065,-0.04768368601799011,-11.454002807807369,0.03452542796730995,0.02948571927845478,1186,1186,True,Severe,Decrease,vegetated,0.9537784641468307,-1.6622070970206313,False
894269ba5c3ffff,33.55766909173486,73.11877660756087,0.09371718019247055,0.08258761465549469,-0.012478402815759182,0.004421518184244633,0.2871023118495941,0.2354154884815216,-0.01112956553697586,-11.875693991345713,0.05148552358150482,0.04185217246413231,1185,1185,False,,,bare_soil_water,0.9326021818096522,-0.4688848837110683,False
894269b2c13ffff,33.71853980103487,73.18892592447003,0.26945868134498596,0.22558067739009857,0.019842855632305145,0.04092470929026604,0.4715041220188141,0.3920940160751343,-0.04387800395488739,-16.283759623506324,0.06509722769260406,0.054395850747823715,1185,1185,True,Severe,Decrease,vegetated,0.9137157534744037,-1.5379692578130653,False
894269b0da7ffff,33.687706041072815,73.27043017943441,0.21035616099834442,0.2886200249195099,0.02527177706360817,0.07380983233451843,0.4904126524925232,0.5326002836227417,0.07826386392116547,37.205406083533454,0.07277881354093552,0.09507321566343307,1183,1183,True,Severe,Increase,vegetated,0.8787964453111676,2.4493952907969527,False
89426994a8fffff,33.65583538457201,72.91336681674153,0.18225526809692383,0.2114720642566681,-0.010192938148975372,0.004201680887490511,0.5512897372245789,0.5798611044883728,0.029216796159744263,16.030700492128815,0.09531281888484955,0.11505201458930969,1185,1185,True,Severe,Increase,vegetated,0.8480985560946154,0.8482363875810359,False
894269b7583ffff,33.74123874607072,73.28574263800377,0.22492507100105286,0.22719301283359528,0.016853932291269302,0.023842917755246162,0.449900358915329,0.449927419424057,0.0022679418325424194,1.0083099329250866,0.09105963259935379,0.08281178772449493,1181,1181,True,Mild,Stable,vegetated,0.8744499288930963,-0.03151850923275295,False
89209a49a7bffff,33.657541611400575,73.06782617917844,0.13108526170253754,0.13276004791259766,0.0165087953209877,0.02766798436641693,0.3045732378959656,0.2859005331993103,0.0016747862100601196,1.2776312060623511,0.05225268751382828,0.05359726771712303,1181,1181,False,,,non_vegetated,0.9235672580280538,-0.050882284668827944,False
8942698759bffff,33.597548848677064,72.9260155686078,0.16410477459430695,0.17855092883110046,0.01988677680492401,0.029973847791552544,0.4597269594669342,0.4752267897129059,0.014446154236793518,8.803006659926076,0.06448808312416077,0.07005232572555542,1183,1183,True,Moderate,Increase,vegetated,0.902850290942744,0.36604354913883086,False
894269ba087ffff,33.5441890408401,73.12460978261593,0.11623969674110413,0.11583756655454636,-0.018494054675102234,-0.0103642288595438,0.3496370017528534,0.29349735379219055,-0.0004021301865577698,-0.3459491015822398,0.05958601459860802,0.05531281605362892,1179,1179,False,,,non_vegetated,0.9170331942327281,-0.11868395623573781,False
894269b26d7ffff,33.68845727947241,73.10557565886944,0.21495321393013,0.2046639770269394,0.031838856637477875,0.043454643338918686,0.37816092371940613,0.4250909686088562,-0.010289236903190613,-4.786733222111814,0.042585913091897964,0.04523732513189316,1181,1181,True,Mild,Decrease,vegetated,0.9365840930999565,-0.44145205775381824,False
894269b086bffff,33.64508777188082,73.26663152071622,0.21094340085983276,0.35146573185920715,0.03258891776204109,0.07989991456270218,0.37809303402900696,0.5479009747505188,0.1405223309993744,66.61613040587527,0.05591754987835884,0.09542348235845566,1184,1184,True,Severe,Increase,vegetated,0.8907188005749669,4.481845005176386,False
